04-28-2023	Baseline: Basic filtering	0.03	0.142	3000000	DataComp team	https://arxiv.org/abs/2304.14108
04-28-2023	Baseline: LAION-2B filtering	0.031	0.133	1300000	DataComp team	https://arxiv.org/abs/2304.14108
04-28-2023	Baseline: CLIP score (L/14 30%)	0.051	0.173	3400000	DataComp team	https://arxiv.org/abs/2304.14108
04-28-2023	Baseline: Image-based	0.043	0.159	3000000	DataComp team	https://arxiv.org/abs/2304.14108
04-28-2023	Baseline: Text-based	0.046	0.157	3200000	DataComp team	https://arxiv.org/abs/2304.14108
04-28-2023	Baseline: Image-based ∩ CLIP score (L/14 30%)	0.039	0.144	1400000	DataComp team	https://arxiv.org/abs/2304.14108
04-28-2023	Baseline: No filtering	0.025	0.132	12800000	DataComp team	https://arxiv.org/abs/2304.14108
01-08-2024	Content Alignment Model ∩ Flipped CLIP Score	0.064	0.178	2662509	DISCO ETH Zürich	
08-25-2023	text masked CLIP 30%	0.048	0.164	12800000	NUM	
08-03-2023	WS (baselines)	0.059	0.175	12800000	SprocketLab	
08-12-2023	> w <	0.056	0.180	4118560	SprocketLab	
09-07-2023	Detection ∩ CLIP score	0.053	0.178	3985227	SprocketLab	
11-04-2023	Hype Sampler	0.063	0.180	2319109	NAVER AI Lab	
08-25-2023	Fondant baseline, CLIP score (L/14 1%-30%), ascii > 4	0.053	0.168	3642339	ML6 (Niels Rogge, Alexander Remmerie)	
09-07-2023	OCR and Naive english filtering	0.057	0.173	3450000	MA and RH	
08-02-2023	CLIP score (L/14 30%) baseline	0.049	0.164	3400000	cvl	
09-06-2023	BLIP2-COCO-finetuned_similarity_top-35%	0.053	0.177	12800000	LINE-CVL	
